Sample_ID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE+DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	7.48063	3.05965	0	1.41077	7.1688	0	1.87214	0	0	0	1.64129	0	1.77246	1.55944
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.9524	0	10.6378	42.9125	3.0603	3.51684	40.8818	4.98284	33.2708	0	4.11487	0	4.19492	13.0128	1.98869	2.826
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_sp_ASF502	0.41839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_sp_5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07919	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.19573	0.379094	0	0	1.55087	0	0.285417	0.409189	0.468391	0.850082	4.58075	13.7322	0	1.79213
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Mucispirillum.s__Mucispirillum_schaedleri	0.528707	1.16752	2.72935	1.52088	0.47744	1.31149	2.55529	0	0.764228	1.04581	2.7263	4.44512	0	6.03507	3.35015	1.16173	1.24369
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06735	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	32.3508	14.8552	18.7138	34.2149	16.1999	22.5321	24.4974	26.8618	29.1956	44.3353	18.2627	21.5336	25.745	26.7174	23.2359	32.4647	21.321
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.37354	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0.940654	0	14.2461	57.0024	5.89012	7.05878	57.3422	6.43591	37.1664	0	6.82356	0	6.61471	16.9216	7.45235	5.5376
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	2.65752	0.574332	0	0	1.00957	0.66226	0.225642	0.436564	0.391188	0.705244	3.39515	9.99129	0	1.77314
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	26.88	16.0215	15.2785	69.0285	27.2299	36.357	27.5606	54.5539	38.2941	52.0679	29.9956	37.2485	46.7706	52.1068	42.42	54.294	27.1807
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_reuteri	2.61544	2.32118	1.55856	0	0.477274	0	1.19132	1.44664	0.808706	0.700105	0	0.293289	0.577745	1.11509	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.453454	4.81513	0	0	1.09116	0	0.17505	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0.746285	5.9516	0	0	0.979494	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Escherichia.s__Escherichia_coli	0	0	0	1.33892	13.3225	0	0	2.50718	0	0.447973	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43121	0	0
P161-PWY: acetylene degradation|unclassified	1.21775	0.437246	0.926281	0	0	0	0.688156	0	0.215952	1.57492	0	0.496507	0.580062	0.514958	0.946436	1.89365	0.411919
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)|unclassified	4.36785	1.11004	0	1.42309	1.02528	1.08712	0	1.52016	1.24451	2.10021	0	3.27548	0	5.96504	5.07357	4.02753	0
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	6.73789	0	0	0	0	0	1.39405	0	0	7.04811	0	2.86593	0	6.77585	4.86718	8.52972	0
P42-PWY: incomplete reductive TCA cycle|unclassified	0	5.46499	2.9513	0	0	0	5.40908	0	0	1.98547	0	0	0	0	4.52368	0	6.71327
P441-PWY: superpathway of N-acetylneuraminate degradation|unclassified	4.33653	1.58645	3.35111	0	0	0	2.757	0	0.823595	6.06215	0	1.8082	2.28506	1.99779	3.14507	5.80757	1.76494
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli"	0	0	0	1.34778	14.4882	0	0	3.43761	0	0.561771	0	0	0	0	0	0	0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified"	2.49387	0.979931	2.29256	0	0	0	1.5907	0	0.482979	3.29846	0	1.06974	1.10097	1.03848	1.85825	3.94271	0.941531
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.78569	0	0	0	0.244268	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	1.69412	10.7382	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	0	0.819893	0	0	1.71277	0.337554	10.1879	0	27.7631	3.64765	1.04899	0	3.68001	2.92907	1.70052	0.325294	5.44248
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	1.00465	0.509304	0	18.0277	7.54819	7.87606	3.33347	19.4894	10.902	12.789	3.53239	0	1.76519	6.4042	4.05653	8.66344	5.51267
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	3.14783	0	17.9025	45.3225	16.1849	8.36815	42.7691	8.46079	36.0257	0	5.12352	0	10.7877	14.9349	12.1539	6.70606
PANTO-PWY: phosphopantothenate biosynthesis I|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232643
PANTO-PWY: phosphopantothenate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.806517	8.55463	0	0	3.13389	0	0.31318	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.194	0.514353	0	0	1.21893	0.361082	0.487813	0.620562	0	0.448151	3.91313	12.3988	0	2.1592
PANTO-PWY: phosphopantothenate biosynthesis I|g__Mucispirillum.s__Mucispirillum_schaedleri	1.88643	2.93409	8.03755	3.02587	1.10438	2.98252	4.88771	0.637621	1.2776	3.32606	7.90331	7.1914	0.6796	14.4371	10.6317	3.72534	3.82393
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	0	0.811464	0	0.42374	0.712996	0.767865	0.696973	2.73328	2.98273	3.34385	1.53226	0.767882	2.23611	2.08763	0	2.16196	0.558165
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	39.6247	21.72	27.4774	43.4534	12.6786	23.8854	42.5545	38.1607	30.3835	42.8648	38.4842	57.0218	37.9419	38.3759	16.836	43.4782	34.0591
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.12993	0	17.2446	45.7101	10.5801	6.88551	43.2191	7.83661	41.1466	0	4.47914	0	7.96108	13.9057	10.1682	5.23005
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0	7.38006	0	0	1.89358	0	0.229629	0	0	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	1.72104	1.34919	2.40119	3.80911	1.77937	3.93973	3.74396	3.49542	4.73438	5.59091	7.46027	2.16524	2.8553	2.16735	2.35498	3.44507	2.61681
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.19919	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	1.23951	0.599722	1.40067	0	0	0	0.475847	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0.321022	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	0	0.572375	0	0.215696	0	0	6.95399	0	16.756	2.69132	0	0	1.85883	1.85045	0.737982	0.278506	3.96624
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.276556	0	0	11.1051	4.38125	4.83008	2.85381	14.3339	8.66691	7.90325	1.41153	0	0	3.92098	2.70901	5.06288	3.49991
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.83296	0	10.2899	41.8663	2.59947	2.17314	41.5696	6.23095	35.656	0	3.32977	0	3.66622	12.0448	3.895	2.24647
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_sp_ASF502	0.314195	0	0	0	0	0	0	0	0	0.812129	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	0	0	0	0.832646	7.87748	0	0	1.40328	0	0.274408	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.86831	0.505805	0	0	1.68623	0.459515	0.409188	1.08226	0.441925	0.520046	4.05617	14.4603	0	2.01955
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_johnsonii	5.57117	4.21913	1.82313	0	0.252967	0	1.60729	0.9602	2.72801	0.757044	0.282773	1.61313	1.32578	1.64061	0.420803	0	1.1034
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_murinus	1.49406	2.29711	0.449691	0	2.11487	0.224675	0.595248	1.27072	0	0.985225	0.614235	0	0	0	0	0	0.683046
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_reuteri	2.63684	1.82603	1.33068	0	0.34369	0	0.951817	1.52582	0.482486	0.742342	0	0.521086	0	0.909177	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_sp_ASF360	4.89562	2.94872	1.09009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Oscillibacter.s__Oscillibacter_sp_1_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67328	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	24.6311	15.4541	21.1035	50.1475	21.3097	32.2283	33.1285	35.5863	33.0726	56.4044	28.3721	29.8547	29.9393	39.7697	34.2942	46.4172	25.9323
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	0	0	0	0.636162	11.8416	0	0	2.95934	0	0.533891	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.60271	0	0	0	2.02945	0.71591	0	0.749228	0.757685	0	5.03711	15.7183	0	2.39626
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0	2.3318	0	0	0.541905	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	2.24582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	0	0	7.12993	0	0	1.72853	0	0.286276	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	6.83372	6.26069	3.58289	6.89974	6.05873	10.907	7.99656	6.53757	4.00439	11.1167	10.3564	19.3228	4.3209	9.54704	0.782553	7.09566	6.83907
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0.403192	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.17042	0	7.77081	3.43739	7.51104	2.96519	3.46889	1.44584	13.4907	0	2.2611	0	4.61992	3.0237	7.59207	4.09711
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	0	0	0	0.975534	11.5734	0	0	3.13352	0	0.531244	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|unclassified	136.721	110.093	95.9875	212.673	106.31	98.3892	126.247	153.393	182.303	148.901	139.56	157.076	176.801	152.622	130.643	193.502	153.81
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	2.08531	0.390334	0	0.486036	0	0.374882	0	0	0	0	1.31531	0.363474	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.987423	7.78478	0	0	1.1178	0	0.161392	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|unclassified	8.34174	7.21682	4.52429	22.5221	14.4068	24.9198	14.6121	14.8772	8.8985	26.0269	22.7211	25.8303	15.9565	13.2038	9.08394	17.607	15.1066
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified"	0	0	0	0	1.04408	0	0	4.087	0	0	0	0	2.6428	0	1.89094	3.15256	0
PWY-2723: trehalose degradation V|g__Escherichia.s__Escherichia_coli	0	0	0	0.245576	4.13963	0	0	0.818627	0	0.064219	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_johnsonii	4.01216	2.75558	0.930064	0	0.555794	0	1.75917	0.776065	3.12025	0.713012	0.754346	1.36807	1.51773	1.32716	0.569813	0	1.31744
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_murinus	1.47824	1.92746	0.453764	0	1.73956	0	0.660292	1.42621	0.336776	1.24855	0.911847	0.360865	0	0	0	0	0.707741
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	1.8789	1.89222	1.69679	0	0.369598	0	0.861227	1.61702	0.754212	0.830203	0	0.329448	0.459197	0.739155	0.266964	0	0
PWY-2941: L-lysine biosynthesis II|g__Lactobacillus.s__Lactobacillus_sp_ASF360	5.29362	2.91216	1.06249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|unclassified	17.098	5.91044	9.59706	19.0515	1.97123	4.06141	0	0	0	11.2854	0	0	5.26251	22.5446	21.505	10.2833	11.9014
PWY-2942: L-lysine biosynthesis III|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.8385	0	0	0	0.50043	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	1.47282	0.294687	0.971751	0	0	0	0.459078	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	1.22393	7.26973	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	0	0.582445	0	0.436248	1.11249	0	11.6356	0.351031	23.2415	3.35355	0.498252	0	1.53508	2.71869	1.31602	0	4.62495
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	0.672872	0.736531	0	20.9674	9.05148	7.50197	4.06298	21.5092	14.3336	14.7156	5.13646	0	0.755736	6.44431	4.88405	8.74617	5.71762
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.86925	0	15.424	29.8355	11.0745	4.95222	23.7971	5.07016	28.1401	0	3.86695	0	7.74174	9.65219	13.1821	5.27171
PWY-2942: L-lysine biosynthesis III|g__Clostridium.s__Clostridium_sp_ASF502	0.734639	0	0	0	0	0	0	0	0	0.676936	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0.141323	0	0	0	0	0.226284	0	0	0	0	0	0	0.207937
PWY-2942: L-lysine biosynthesis III|g__Escherichia.s__Escherichia_coli	0	0	0	0.568871	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	2.54325	0.668587	0	0	1.3051	0	0.265891	1.13367	0.579852	1.68677	4.77572	12.1589	0	2.26134
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_johnsonii	3.81081	2.55411	0.945546	0	0	0	1.52445	0.77854	3.00035	0.564546	0.5718	1.20362	1.56935	0.949829	0.372294	0	1.26535
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_murinus	1.48914	1.73146	0.514092	0.515913	1.71053	0	0.666794	1.19648	0.20223	0.820303	1.00966	0.357152	0	0	0	0	0.628377
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	1.60499	1.54189	1.70745	0	0.299764	0	0.8458	1.81612	0.494251	0.75706	0	0.189169	0.410394	0.398922	0.32065	0	0
PWY-2942: L-lysine biosynthesis III|g__Lactobacillus.s__Lactobacillus_sp_ASF360	5.04619	2.52086	0.753097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III|g__Mucispirillum.s__Mucispirillum_schaedleri	2.88742	2.92789	11.0665	4.00007	0.892549	3.397	6.5547	0.840021	3.55167	5.23872	12.2713	15.12	1.15314	21.4704	14.2951	6.28389	7.90325
PWY-2942: L-lysine biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	0	1.27682	0	0.402927	1.38966	1.08573	2.21073	5.02024	3.53979	6.45545	2.86345	1.1734	5.31281	4.15265	0.251493	2.45147	1.18743
PWY-2942: L-lysine biosynthesis III|unclassified	82.4923	40.2305	35.236	78.2401	34.0225	34.5617	52.9358	68.6214	72.4166	75.8637	45.799	55.1894	59.2384	79.0941	78.1417	89.6582	56.7362
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0.652605	3.25414	0	0	1.21863	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.24813	0.517662	0	0	1.67504	0	0.383665	0.66277	0.614651	0	4.7187	16.1113	0	2.31815
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	25.8066	16.777	15.7843	28.6136	11.613	5.49306	17.5603	13.8517	8.52885	28.5026	7.93113	19.7256	15.1334	34.4175	26.5775	47.8318	24.1693
PWY-3781: aerobic respiration I (cytochrome c)|g__Helicobacter.s__Helicobacter_hepaticus	0.90674	0	0	8.71457	1.68003	0	0.512743	3.08738	0.726913	2.80263	2.52113	1.45972	2.52681	6.48847	24.6078	0.526738	4.51232
PWY-3781: aerobic respiration I (cytochrome c)|unclassified	62.6855	121.289	75.4997	70.454	55.0556	29.1333	62.5008	82.8911	46.4772	100.003	35.8441	56.6955	45.2741	61.5279	60.1802	52.647	45.0416
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0.485009	3.11157	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	0	0.763516	0	0.707741	0.838393	0.180783	10.2535	0	21.975	3.69423	0.694168	0	2.25449	1.8892	1.56804	0.321862	6.29656
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0.626373	0	1.22422	0	0.879274	0	0	0	0.274267	0	0	0
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.30266	0	21.2706	50.6343	6.62074	4.17696	46.4645	7.17064	43.7046	0	5.44186	0	6.7935	16.1952	10.7414	4.56387
PWY-3841: folate transformations II|g__Escherichia.s__Escherichia_coli	0	0	0	0	5.98465	0	0	1.129	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_johnsonii	7.22281	6.64094	2.26276	0	0.422125	0	1.55997	0.854332	3.09899	0.960376	0.532484	2.48508	1.61507	1.8201	1.62349	0	2.57768
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_reuteri	2.28295	1.48926	1.2442	0	0.442116	0	1.10189	1.31142	0.638291	0.62111	0	0.656596	0	0.794361	0.610145	0	0
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_merdae	0	0.883665	0	0.482259	0.783493	0	2.04054	3.42728	3.05122	3.55971	1.69441	0.77596	3.56476	4.17323	0.335409	3.28488	0.755684
PWY-3841: folate transformations II|unclassified	20.82	21.6113	11.6158	38.1359	17.183	18.3438	29.9366	32.8238	29.8247	37.9682	26.4557	14.9232	23.1235	23.2567	19.227	25.786	30.8001
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	0	0	0	0.315826	9.7529	0	0	2.42063	0	0.158026	0	0	0	0.195934	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.41519	0	13.0708	37.0112	7.03277	5.0385	36.0981	2.71515	21.3155	0	3.38008	0	5.71256	11.5514	7.45352	4.03763
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Escherichia.s__Escherichia_coli	0	0	0	0	8.7655	0	0	1.71882	0	0.390808	0	0	0	0	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	2.42674	1.96898	0.647104	0	0.78773	0	1.36417	1.66955	0.263219	0.488609	0	0	0	0.793524	0	0.224948	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|unclassified	0.82306	0.668991	1.24254	1.84693	0.859935	2.06296	2.06407	1.68201	2.51739	2.72541	4.28235	1.11506	1.45051	1.02782	1.18675	1.79326	1.35049
PWY-4702: phytate degradation I|g__Escherichia.s__Escherichia_coli	0	0	0	0.2047	6.29425	0	0	1.23675	0	0.423989	0	0	0	0	0	0	0
PWY-4981: L-proline biosynthesis II (from arginine)|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0.24948	0	0	0	0	0	0.446354	0.408319	0	0	0.679508	0	0	0	0	0	0
PWY-4981: L-proline biosynthesis II (from arginine)|g__Lactobacillus.s__Lactobacillus_reuteri	5.03706	3.56826	2.03772	0	0.761086	0	1.34814	1.99277	1.30915	1.275	0.445972	1.17936	0.588396	1.87081	0.459688	0.460182	0.226328
PWY-4981: L-proline biosynthesis II (from arginine)|g__Oscillibacter.s__Oscillibacter_sp_1_3	0.865291	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83458	0	0
PWY-4981: L-proline biosynthesis II (from arginine)|unclassified	7.22286	4.62951	7.38031	48.9056	21.8673	19.0302	9.14995	21.0605	3.0873	33.4203	5.51343	14.6183	6.29453	29.1113	38.2796	28.7304	9.29101
PWY-4984: urea cycle|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	3.58072	1.22492	0	0	2.63483	0	0.405156	1.17006	0.573271	0.96956	6.00766	16.9796	0	3.31336
PWY-5030: L-histidine degradation III|unclassified	5.44537	5.91975	4.98041	36.0623	15.1555	16.609	9.56461	17.1441	8.44244	24.2293	15.5676	13.2812	9.51261	18.2819	15.9371	21.1004	9.25026
PWY-5083: NAD/NADH phosphorylation and dephosphorylation|g__Escherichia.s__Escherichia_coli	0	0	0	1.37223	6.61313	0	0	1.03213	0	0.227567	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Alistipes.s__Alistipes_indistinctus	0	0	0	1.69845	0	0	0	0.363666	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	1.48047	0.323779	1.09766	0	0	0	0.459612	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	1.5183	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_uniformis	0	0.554491	0	0	1.09071	0	8.81368	0	19.1296	3.16987	0.448344	0	1.58832	2.34688	0.848926	0	4.3192
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.6638	0	15.8222	46.1325	10.2469	5.2798	39.3756	6.85323	32.81	0	3.91418	0	8.03331	14.2554	11.3126	5.16779
PWY-5097: L-lysine biosynthesis VI|g__Clostridium.s__Clostridium_sp_ASF502	0.79248	0	0	0	0	0	0	0	0	0.678041	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Enterorhabdus.s__Enterorhabdus_caecimuris	0	0	0	0	0.151807	0	0	0	0	0.180399	0	0	0	0	0	0	0.184483
PWY-5097: L-lysine biosynthesis VI|g__Escherichia.s__Escherichia_coli	0	0	0	0.366232	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	2.74745	0.606094	0	0	1.27287	0	0.291025	0.951816	0.312843	1.65122	4.83086	12.4246	0	2.20212
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_johnsonii	3.83472	2.62774	0.907322	0	0	0	1.56873	0.737399	3.18008	0.593899	0.583901	1.25038	0.749276	0.988611	0.410276	0	1.27295
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_murinus	1.46301	1.77981	0.427114	0	1.82676	0	0.571307	1.22346	0.228142	0.890014	0.994154	0.364101	0	0	0	0	0.676895
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_reuteri	2.13537	1.81257	1.70385	0	0.371511	0	0.979641	1.83006	0.538901	0.906274	0	0.298438	0.676886	0.898801	0.41328	0	0.259558
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_sp_ASF360	5.01918	2.64508	0.801856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
